Southeastern Pomo	0	Extinct
Palu'e	3000	Definitely endangered
Mabiri	3	Critically endangered
Emilian-Romagnol	2000000	Definitely endangered
Bagvalal	5000	Definitely endangered
Arapaho (Wyoming)	1000	Severely endangered
Omagua (Peru)	100	Critically endangered
Hoti	10	Critically endangered
Gitksan	710	Severely endangered
Murik	1256	Vulnerable
Kwatay	5625	Severely endangered
Washo	24	Severely endangered
Mescalero-Chiricahua Apache (New Mexico)	1500	Definitely endangered
Tinigua	1	Critically endangered
Wunambal	5	Critically endangered
Mehináku	200	Vulnerable
Tanema	4	Critically endangered
Ruga	100	Critically endangered
Kari'ña (Guyana, Suriname)	4000	Severely endangered
Ute (Colorado, Ute Mountain)	500	Severely endangered
Lacandón	563	Critically endangered
Waanyi	4	Critically endangered
Hozo	3000	Definitely endangered
Iwaidja	200	Vulnerable
Nauna	130	Vulnerable
Taworta	140	Vulnerable
Kaska	155	Severely endangered
Fayu	350	Vulnerable
Dorig	200	Definitely endangered
Laiyolo	600	Definitely endangered
Rikbaktsa	900	Severely endangered
Arguni	150	Vulnerable
Western Náhuatl	1041	Severely endangered
Koroshi	200	Critically endangered
Ozomatlán Totonac	1276	Critically endangered
Palikur (French Guyana)	500	Severely endangered
Kowiai	600	Vulnerable
Tima	3305	Severely endangered
Chácobo	550	Definitely endangered
Mandeali	611930	Definitely endangered
Ongamo	200	Critically endangered
Susuami	10	Critically endangered
Shawnee	100	Severely endangered
Northern Sierra Miwok	6	Critically endangered
Pendau	3200	Vulnerable
Mok (China)	700	Definitely endangered
Isthmus Náhuatl	26632	Vulnerable
Wanka Quechua	35000	Severely endangered
Domaaki	500	Severely endangered
Southern Tlapanec	592	Severely endangered
Kathu	5000	Definitely endangered
Paulohi	50	Critically endangered
Mansim	5	Critically endangered
Macushi (Guyana)	7750	Vulnerable
Dzala	15000	Vulnerable
Rembarrnga	10	Critically endangered
Omotik	50	Critically endangered
Ouma	4	Critically endangered
Moselle Franconian	390000	Vulnerable
Crimean Tatar (Crimea)	100000	Severely endangered
Yuki	125	Severely endangered
Alabat Island Agta	30	Critically endangered
Zenaga (Mauritania)	4000	Severely endangered
Cinta Larga	1440	Vulnerable
Panare	3000	Vulnerable
Csángó Hungarian	25000	Severely endangered
Jawe	729	Vulnerable
Fagauvea (Southern)	1107	Vulnerable
Quechua of Pacaraos	35	Critically endangered
Kendeje	1859	Definitely endangered
Miami-Illinois	0	Extinct
Yan-nhangu	61	Definitely endangered
Hulung	10	Critically endangered
Langthang Tibetan	0	Definitely endangered
Raute	518	Severely endangered
Sikuani	34614	Vulnerable
Hanis	0	Extinct
Tuvan	242754	Vulnerable
Sishee	0	Extinct
Toratán	500	Definitely endangered
Zenatiya	50000	Critically endangered
Luro	2000	Critically endangered
Scots	1500000	Vulnerable
Yug	0	Extinct
Kudu-Camo	42	Critically endangered
Gascon	250000	Definitely endangered
Keiga	6072	Severely endangered
Dilling	5295	Definitely endangered
Cherokee (Oklahoma)	10000	Definitely endangered
Garhwali	279500	Vulnerable
Burushaski	87000	Vulnerable
Quichua (Imbabura)	50000	Definitely endangered
Mawak	31	Critically endangered
Ixtenco Otomí	461	Severely endangered
Emplawas	220	Definitely endangered
Katawixi	10	Critically endangered
Yaminahua (Bolivia, Peru)	400	Severely endangered
Dampel	1	Critically endangered
Laxudumau	500	Vulnerable
N|uu	8	Critically endangered
Ngarinman	50	Severely endangered
Dargwa	503523	Vulnerable
Namonuito	944	Severely endangered
Atacameño	0	Extinct
Taworta	140	Vulnerable
Yine	2150	Definitely endangered
Kurux (India)	1751489	Vulnerable
Western Montagnais	2980	Vulnerable
Upland Yuman	1650	Vulnerable
Niuean	14000	Definitely endangered
Itonama	5	Critically endangered
Inkhokvari	1000	Definitely endangered
Tombelala	1000	Vulnerable
Maliseet-Passamaquoddy	500	Severely endangered
San Mateo del Mar Huave	12667	Vulnerable
Tshangla	193000	Vulnerable
Dengalu	140	Definitely endangered
Komo	11500	Definitely endangered
Tchumbuli	1838	Critically endangered
Quechan	150	Definitely endangered
Mo'ang (China)	5000	Definitely endangered
Ashaninka (Peru)	62468	Vulnerable
Rapanui	2500	Severely endangered
Arapáso	0	Extinct
Tobati	80	Severely endangered
Western Armenian (Turkey)	50000	Definitely endangered
Inkhokvari	1000	Definitely endangered
Northwestern Tarahumara	10031	Vulnerable
Kudu-Camo	42	Critically endangered
Marrithiyel	25	Critically endangered
Maung	200	Vulnerable
Ge'ez	0	Extinct
Hozo	3000	Definitely endangered
Kokborok	695000	Vulnerable
Quechua of Southern Bolivia	2300000	Vulnerable
Ashtiani	21000	Definitely endangered
Onjab	160	Vulnerable
Patla-Chicontla Totonac	8590	Severely endangered
Gyele	4280	Definitely endangered
Zuni	9000	Vulnerable
Norfolk-Pitcairn (Pitcairn)	50	Vulnerable
Lolak	50	Critically endangered
Lower Chehalis	0	Extinct
Tsafiki	2000	Definitely endangered
Lakon	700	Vulnerable
Spokane	2	Critically endangered
River Guarijío	617	Vulnerable
Poyanawa	2	Critically endangered
Ixcatec	21	Critically endangered
Senggi	100	Vulnerable
Moselle Franconian	390000	Vulnerable
Mountain Guarijío	696	Vulnerable
Tecóatl Mazatec	1300	Vulnerable
Norn	0	Extinct
Bongo	10084	Definitely endangered
Karelian (Karelia)	20000	Definitely endangered
Polabian	0	Extinct
Krahô	2184	Vulnerable
Araona	81	Severely endangered
Enggano	700	Vulnerable
Kuvi	300000	Definitely endangered
Faroese	60000	Vulnerable
Copper Island Aleut	10	Critically endangered
Southern Sierra Miwok	3	Critically endangered
Bubia	600	Severely endangered
Nauna	130	Vulnerable
Thulung	14034	Definitely endangered
Nataoran	20	Critically endangered
Miju	6700	Vulnerable
Piame	100	Severely endangered
Mafea	70	Definitely endangered
Tupari	150	Definitely endangered
Harakmbut	1206	Definitely endangered
Chrau	15000	Definitely endangered
Xakriabá	0	Extinct
Gagauz (Maritime)	400	Severely endangered
Mambai	2000	Severely endangered
Tagoi	13000	Severely endangered
Manihiki	5000	Definitely endangered
Eastern Pomo	0	Extinct
Chokri	84000	Vulnerable
Nunggubuyu	44	Severely endangered
Leco	20	Critically endangered
Woods Cree	9095	Vulnerable
Dorasque	0	Extinct
Ka'apór	991	Vulnerable
Zapotec of Mixtepe	14	Critically endangered
Legenyem	300	Vulnerable
Yawanawá	519	Vulnerable
Logudorese	400000	Definitely endangered
Yaghnobi	20000	Definitely endangered
Ipai	6	Critically endangered
Callahuaya	100	Critically endangered
Orejón	200	Severely endangered
Yiddish (Israel)	3000000	Definitely endangered
Panare	3000	Vulnerable
Tajio	12000	Vulnerable
Tobada'	12000	Extinct
Sierra de Puebla Náhuatl	57189	Definitely endangered
Zaparo	9	Critically endangered
Warnang	1100	Severely endangered
Stoney	2765	Vulnerable
Choyi	7000	Definitely endangered
Kodagu	166187	Definitely endangered
Pwapwa	80	Severely endangered
Assiniboine (Canada)	80	Critically endangered
Kilit	0	Extinct
Kalasha	5000	Severely endangered
Bukharic	10000	Definitely endangered
Tundra Nenets	30000	Definitely endangered
Ngong	0	Extinct
Candoshi	1900	Definitely endangered
Sentilese	50	Critically endangered
Kalasha	5000	Severely endangered
Spokane	2	Critically endangered
Stoney	2765	Vulnerable
Mam (Mexico)	7977	Severely endangered
Lajia	8000	Definitely endangered
Akatek (Guatemala)	35763	Vulnerable
Mayoruna (Brazil)	1500	Vulnerable
Birri	200	Critically endangered
Bayso	2000	Definitely endangered
Phula (China)	250000	Vulnerable
Yatê	1000	Severely endangered
Paakantyi	4	Critically endangered
Oroch	100	Critically endangered
Ordos	100000	Definitely endangered
Geme	550	Critically endangered
Welsh	750000	Vulnerable
Bororo	1390	Definitely endangered
Zeem	0	Extinct
Sampang	10810	Vulnerable
Che Wong	200	Definitely endangered
Bezhta	6461	Definitely endangered
Olonetsian	25000	Definitely endangered
Gooniyandi	60	Severely endangered
Arta	0	Extinct
Lhota	170000	Vulnerable
Gitksan	710	Severely endangered
Solon	10000	Definitely endangered
Udi (Azerbaijan)	5000	Severely endangered
Piratapuya (Brazil)	700	Severely endangered
Yurt Tatar	12000	Definitely endangered
Potawatomi (Oklahoma)	50	Critically endangered
Bahonsuai	180	Definitely endangered
Aka	4000	Definitely endangered
Ndunda	400	Severely endangered
Swoeng	492	Definitely endangered
Wappo	0	Extinct
Dakkang	1198	Definitely endangered
Umbrul	5	Critically endangered
Csángó Hungarian	25000	Severely endangered
Bati	800	Severely endangered
Bashkardi	7000	Definitely endangered
Mixtec of San Miguel Piedras	243	Severely endangered
Siraiya	0	Extinct
Natsilingmiutut	1455	Vulnerable
Zapotec of the Valleys, west	211	Definitely endangered
Yarawi	1	Critically endangered
Kachari	59000	Definitely endangered
Mvanip	100	Critically endangered
Kadaru	12360	Definitely endangered
Mon	800000	Vulnerable
Southwestern Tlapanec	23	Vulnerable
Demisa	450	Definitely endangered
Gardiol	340	Severely endangered
Bonjo	3000	Severely endangered
Agul	29399	Definitely endangered
Brahui	500000	Vulnerable
Onondaga (New York)	10	Critically endangered
Tulu	1722768	Vulnerable
Isirawa	1800	Vulnerable
Lumun	45000	Definitely endangered
Lalo	400000	Vulnerable
Laxudumau	500	Vulnerable
Crimean Tatar (Dobruja)	20000	Severely endangered
Boruca	70	Critically endangered
Nahukwa	124	Definitely endangered
Waiwai (Brazil)	2916	Vulnerable
Somyev	20	Critically endangered
Lajia	8000	Definitely endangered
Harakmbut	1206	Definitely endangered
Udege	40	Critically endangered
Khamnigan Mongol	2000	Definitely endangered
Lemerig	2	Critically endangered
Amahai	30	Critically endangered
Ninam (Venezuela)	100	Vulnerable
Sangkong	2000	Vulnerable
Mako	345	Critically endangered
Lola	830	Vulnerable
Bakpinka	3416	Critically endangered
Sierra Totonac	118367	Severely endangered
Alderney French	0	Extinct
Konda	118597	Definitely endangered
Garífuna (Belize)	14061	Vulnerable
Mancagne	26450	Vulnerable
Tuwuli	11400	Vulnerable
Bikya	1	Critically endangered
Hadza	975	Vulnerable
Choyi	7000	Definitely endangered
Tahltan	60	Critically endangered
Odut	0	Extinct
Badaga	134514	Definitely endangered
Mandaic	300	Critically endangered
Rotuman	3000	Vulnerable
Doga	200	Definitely endangered
Kalispel	5	Critically endangered
Gambiri	1000	Severely endangered
Kumaoni	2003783	Vulnerable
Sirmaudi	31144	Critically endangered
Sishee	0	Extinct
Micmac (Massachusetts)	8145	Definitely endangered
Gowro	200	Severely endangered
Sierra Popoluca	28700	Vulnerable
Malinaltepec Tlapanec	29	Vulnerable
Morokodo	3400	Severely endangered
Bola	1000	Definitely endangered
Sanhaja of Srair	0	Critically endangered
Nemi	325	Definitely endangered
Marrgu	0	Extinct
Sobei	1000	Definitely endangered
Western Chocho	70	Severely endangered
Cuman	0	Extinct
Doga	200	Definitely endangered
Njerep	4	Critically endangered
Xinka	1283	Critically endangered
Pauwi	100	Vulnerable
Polonomombauk	120	Definitely endangered
Baníwa do Içana	5811	Vulnerable
Kunbarlang	140	Severely endangered
Western Armenian (Turkey)	50000	Definitely endangered
Nukiní	0	Extinct
Darma	1761	Definitely endangered
Kendeje	1859	Definitely endangered
Sarikoli	22000	Definitely endangered
Adi	170000	Vulnerable
Lamongse	400	Critically endangered
Kwansu	300	Vulnerable
Shira Yugur	3000	Severely endangered
Jawoyn	20	Severely endangered
Gafat	0	Extinct
Tambotalo	50	Severely endangered
Makolkol	7	Critically endangered
Sause	250	Severely endangered
Ngäbere (Costa Rica)	2041	Definitely endangered
Ersu	15000	Definitely endangered
Natanzi	7000	Severely endangered
Warnman	30	Severely endangered
Ossete	550000	Vulnerable
Hinukh	548	Definitely endangered
Trio (Suriname)	1000	Vulnerable
Nyishangba	2000	Definitely endangered
Ayautla Mazatec	3192	Vulnerable
Sauk-Fox	200	Critically endangered
Mocoví	2000	Definitely endangered
Ume Saami	20	Critically endangered
Ngile	38000	Severely endangered
Sierra Totonac	118367	Severely endangered
Hmar	50000	Vulnerable
Western Náhuatl	1041	Severely endangered
Tsum	4786	Definitely endangered
Gambiri	1000	Severely endangered
Tuahka	300	Severely endangered
Magar	489383	Definitely endangered
Green Gelao (Viet Nam)	300	Critically endangered
Kilit	0	Extinct
Yudja	362	Vulnerable
Burji	7000	Vulnerable
Chihuahua Lower Pima	159	Definitely endangered
Kung	1750	Severely endangered
Warlpiri	3000	Vulnerable
Badiaranke	12205	Severely endangered
Garífuna (Belize)	14061	Vulnerable
Valle Nacional Chinantec	442	Definitely endangered
Nahukwa	124	Definitely endangered
Nyenkha	10000	Vulnerable
Yaminahua (Bolivia, Peru)	400	Severely endangered
Choctaw (Oklahoma)	9500	Vulnerable
Kham	30000	Definitely endangered
Argobba	8000	Critically endangered
Wuse	30000	Vulnerable
Wunambal	5	Critically endangered
Culina (Brazil)	2000	Vulnerable
Asturian-Leonese	150000	Definitely endangered
Xiri	87	Critically endangered
Tandia	0	Extinct
Gebe	2000	Vulnerable
Ili Turk	120	Severely endangered
Aka	4000	Definitely endangered
Kolami	121855	Definitely endangered
Uspantek	3971	Vulnerable
Moyon	3700	Definitely endangered
Sentilese	50	Critically endangered
Ashtiani	21000	Definitely endangered
Tamazight (Ait Rouadi)	1637	Extinct
Maleng	4000	Definitely endangered
Foya	20	Critically endangered
Wajãpi	905	Vulnerable
Dongotono	6219	Vulnerable
Ts'ixa	390	Definitely endangered
Atacameño	0	Extinct
Chulym Turk	35	Critically endangered
Koraga	16665	Critically endangered
Klamath-Modoc	0	Extinct
Udege	40	Critically endangered
Mosetén	585	Severely endangered
Jero	2000	Vulnerable
Eotile	0	Extinct
Taloki	500	Definitely endangered
Bataan Ayta	500	Definitely endangered
Red Gelao (China)	400	Critically endangered
Lishan Didan (Iran)	0	Extinct
Tomadino	500	Definitely endangered
Eastern Popoloc	3544	Vulnerable
Kelo	200	Critically endangered
Páez	80000	Definitely endangered
Pitjantjatjara	3000	Vulnerable
Plains Cree	20933	Vulnerable
Oirata	1221	Definitely endangered
Langa	500	Severely endangered
Adnyamathanha	100	Definitely endangered
Zeem	0	Extinct
Waunana (Panama)	6882	Severely endangered
Soyaltepec Mazatec	27524	Vulnerable
Shumashti	1000	Severely endangered
Tangkhul	142000	Vulnerable
Bororo	1390	Definitely endangered
Canichana	3	Extinct
Yecuana (Brazil)	430	Vulnerable
Laghu	0	Extinct
Awakatek (Mexico)	3	Critically endangered
Chulym Turk	35	Critically endangered
Upper Kuskokwim	25	Critically endangered
Lokono (Suriname)	1000	Severely endangered
Nyenkha	10000	Vulnerable
Itzá	1094	Critically endangered
Karko	12986	Definitely endangered
Cosung (China)	47000	Definitely endangered
Salamãy	2	Critically endangered
Wunai Bunu	8000	Definitely endangered
Turi	5000	Definitely endangered
Dorro	80	Severely endangered
Kati	18700	Definitely endangered
Hu	1000	Definitely endangered
Red Gelao (Viet Nam)	20	Critically endangered
Mescalero-Chiricahua Apache (New Mexico)	1500	Definitely endangered
Katukína-Kanamarí	2100	Vulnerable
Zenatiya	50000	Critically endangered
Danaw	1000	Critically endangered
Mewahang	904	Severely endangered
Manchurian Ölöt	1000	Severely endangered
Kaiowá Guarani	20000	Vulnerable
Atsugewi	0	Extinct
Bakpinka	3416	Critically endangered
Arara do Pará	271	Vulnerable
Gangte	15000	Definitely endangered
Wik Ngathan	100	Definitely endangered
Han (United States of America)	12	Critically endangered
Hijuk	400	Critically endangered
Yami	2700	Vulnerable
Phunoi	37311	Vulnerable
Indri	700	Severely endangered
Matagalpa	0	Extinct
Yarawi	1	Critically endangered
Ashtiani	21000	Definitely endangered
Nunatsiavummiutut	575	Definitely endangered
Karang	10000	Vulnerable
Thavung (Laos)	1000	Definitely endangered
Northern Tujia	60000	Severely endangered
Northern Tutchone	115	Definitely endangered
Brahui	500000	Vulnerable
Pana	7800	Definitely endangered
North Saami	30000	Definitely endangered
Shabo	450	Severely endangered
Sampang	10810	Vulnerable
Rapa	400	Severely endangered
Yavapai	150	Severely endangered
Mor	25	Severely endangered
Kerek	0	Extinct
Oyda	16597	Vulnerable
Juk	15000	Definitely endangered
Uru	1	Extinct
Zapotec of Zimatlán de Álvarez	562	Definitely endangered
Kavalan	24	Critically endangered
Welsh	750000	Vulnerable
Shor	6210	Severely endangered
Torá	0	Extinct
Trukhmen	10000	Definitely endangered
Animere	700	Critically endangered
Creek	5000	Definitely endangered
Aweti	160	Vulnerable
Griko (Calabria)	2000	Severely endangered
Ari	80	Severely endangered
Chong	500	Severely endangered
Worrorra	4	Critically endangered
Maring	22000	Vulnerable
Bundjalung	20	Severely endangered
Paiwan	15000	Vulnerable
Assiniboine (United States of America)	150	Critically endangered
Leco	20	Critically endangered
Lishan Didan (Israel)	4000	Severely endangered
Zapotec of Petapa	4613	Definitely endangered
Sakapultek	6973	Definitely endangered
Lezgian	500000	Vulnerable
Pontic Greek	300000	Definitely endangered
Cherokee (Oklahoma)	10000	Definitely endangered
Khmin	500	Vulnerable
Ingalik	14	Critically endangered
Bubia	600	Severely endangered
Zenaga (Mauritania)	4000	Severely endangered
Arem	100	Severely endangered
Itik	80	Vulnerable
Q'eqchi' (Guatemala)	716101	Vulnerable
Ts'ixa	390	Definitely endangered
Sambe	2	Critically endangered
Tese	1400	Critically endangered
Ge'ez	0	Extinct
Yarawata	98	Severely endangered
Ava-Canoeiro	16	Critically endangered
Sanhaja of Srair	0	Critically endangered
Ordos	100000	Definitely endangered
Khiamngan	38000	Vulnerable
Dungmali	4609	Definitely endangered
Moraori	50	Severely endangered
Rongpo	8000	Vulnerable
Emplawas	220	Definitely endangered
Tapirapé	564	Vulnerable
Western Apache	6000	Definitely endangered
Pu	5000	Critically endangered
Chepya	2000	Definitely endangered
Idu	11101	Definitely endangered
Khorasani Turk	200000	Vulnerable
Tangsa	40000	Vulnerable
Leco	20	Critically endangered
Jero	2000	Vulnerable
Beaver	195	Definitely endangered
Shughni	95000	Vulnerable
Tlachichilco Tepehua	2234	Definitely endangered
Odut	0	Extinct
Cosung (China)	47000	Definitely endangered
Western Tlapanec	549	Vulnerable
Cho-ca-nga-ca-kha	20000	Definitely endangered
Massep	25	Critically endangered
South Slavey	920	Definitely endangered
Sivandi	7000	Definitely endangered
Ottawa (Canada)	810	Severely endangered
Lower Northwestern Otomí	6509	Vulnerable
Chilchotla Mazatec	20585	Vulnerable
Moere	56	Severely endangered
Pangvali	16285	Critically endangered
Maleng	4000	Definitely endangered
North Frisian	10000	Severely endangered
Cheyenne (Montana)	1700	Definitely endangered
Creek	5000	Definitely endangered
Jaminjung	15	Severely endangered
Korwa	35000	Vulnerable
Maliseet-Passamaquoddy	500	Severely endangered
Chokri	84000	Vulnerable
Oroha	100	Severely endangered
Ujir	1200	Definitely endangered
Argobba	8000	Critically endangered
Anfillo	500	Critically endangered
Djeoromitxi	30	Severely endangered
Yami	2700	Vulnerable
Tubatulabal	3	Critically endangered
Eastern Kamchadal	0	Extinct
Macushi (Brazil)	15000	Vulnerable
Seke	500	Vulnerable
Ruga	100	Critically endangered
Catawba	0	Extinct
Khorasani Turk	200000	Vulnerable
Jarawa	31	Critically endangered
Culina (Brazil)	2000	Vulnerable
Hya	940	Severely endangered
Obispeño	0	Extinct
Ersu	15000	Definitely endangered
Omagua (Brazil)	0	Critically endangered
Munji	2000	Severely endangered
Moklen	6000	Definitely endangered
Tz'utujil	63237	Definitely endangered
Huehuetlán Mazatec	1169	Vulnerable
Taikat	500	Definitely endangered
Mayoruna (Peru)	2500	Vulnerable
Sikuani	34614	Vulnerable
Nyangumarta	250	Vulnerable
Western Otomí	415	Severely endangered
Ixcatec	21	Critically endangered
Pyu	100	Severely endangered
Gazi	7000	Definitely endangered
Lipan	0	Extinct
Latgalian	150000	Vulnerable
Garrwa	40	Severely endangered
Manchu (Amur)	10	Critically endangered
Dabra	100	Vulnerable
Emplawas	220	Definitely endangered
Sonora Lower Pima	159	Severely endangered
Sowa	10	Critically endangered
Mixtec of the central Ravine	1878	Definitely endangered
Sechelt	15	Critically endangered
Krevin	0	Extinct
Yimchungru	92000	Vulnerable
Tangkhul	142000	Vulnerable
Chihuahua Lower Pima	159	Definitely endangered
Mono	300	Critically endangered
Indri	700	Severely endangered
Saulteau	6558	Vulnerable
Paafang	1318	Severely endangered
Xakriabá	0	Extinct
Teko	71	Severely endangered
Laha (Son La)	500	Definitely endangered
Northern East Cree	6870	Vulnerable
Nayi	3656	Vulnerable
Ritharrngu	66	Definitely endangered
Leco	20	Critically endangered
Tai Rong	100	Critically endangered
Manchurian Ölöt	1000	Severely endangered
Arikapu	2	Critically endangered
Twana	0	Extinct
Quileute	0	Extinct
Guarasu	2	Critically endangered
Homa	0	Extinct
Cinta Larga	1440	Vulnerable
Acoma-Laguna	4000	Definitely endangered
Guaraní Boliviano	40000	Vulnerable
Tilapa Otomí	292	Severely endangered
Koch	31000	Definitely endangered
North Frisian	10000	Severely endangered
Aheu	500	Definitely endangered
Chepya	2000	Definitely endangered
Akawaio (Guyana, Venezuela)	5800	Definitely endangered
Hupda (Colombia)	1500	Definitely endangered
Ts'amay	8621	Definitely endangered
Cholon	0	Extinct
Lamongse	400	Critically endangered
Hoanya	0	Extinct
Chiquitano (Bolivia)	6500	Definitely endangered
Badaga	134514	Definitely endangered
Poyanawa	2	Critically endangered
Deori	28000	Definitely endangered
Guayabero	1118	Definitely endangered
Hermit	20	Critically endangered
Kodagu	166187	Definitely endangered
Lardil	10	Critically endangered
Yatê	1000	Severely endangered
Singpho	5000	Definitely endangered
Keder	180	Severely endangered
Kuot	1000	Vulnerable
Kalasha	5000	Severely endangered
Ghale	28989	Vulnerable
Côông	1676	Definitely endangered
Scottish Gaelic	58552	Definitely endangered
Zoró	464	Vulnerable
Wiradjuri	30	Critically endangered
Aribwatsa	0	Extinct
Dura	0	Extinct
Mon	800000	Vulnerable
Phalok	0	Extinct
Itelmen	100	Critically endangered
Kurux (Bangladesh)	65000	Vulnerable
Swampy Cree	16685	Vulnerable
Nila (Seram Island)	1800	Definitely endangered
Laro	40000	Definitely endangered
Western Neo-Aramaic	20000	Definitely endangered
Lenca	0	Extinct
Nukiní	0	Extinct
Asumboa	40	Severely endangered
Nemadi	100	Critically endangered
Jorá	0	Critically endangered
Piaroa (Colombia)	800	Definitely endangered
Ngäbere (Costa Rica)	2041	Definitely endangered
Waxiang	300000	Vulnerable
Micmac (Massachusetts)	8145	Definitely endangered
K'iche' (Guatemala)	890596	Vulnerable
Sanema (Venezuela)	393	Vulnerable
Red Gelao (Viet Nam)	20	Critically endangered
Resígaro	5	Critically endangered
She	1000	Critically endangered
Quechua of Peruvian Amazonia	7200	Vulnerable
Shoshoni (Idaho)	2000	Severely endangered
Sei	0	Extinct
Tewa (Arizona)	1600	Definitely endangered
Chamalal	12000	Definitely endangered
Tambotalo	50	Severely endangered
Picuris	225	Vulnerable
Koryak	2000	Severely endangered
Páez	80000	Definitely endangered
Kwisi	0	Extinct
Han (United States of America)	12	Critically endangered
Basay	0	Extinct
Tabasco Náhuatl	434	Critically endangered
Tundra Enets	10	Critically endangered
Páez	80000	Definitely endangered
Odut	0	Extinct
Kung	1750	Severely endangered
Manjui	1200	Definitely endangered
Walmajarri	500	Definitely endangered
Green Gelao (Viet Nam)	300	Critically endangered
Sampang	10810	Vulnerable
Bieria	25	Critically endangered
Ningalami	200	Severely endangered
Marúbo	1252	Vulnerable
Baras	200	Severely endangered
Momuna	2000	Vulnerable
Tayal	10000	Vulnerable
Sian	50	Severely endangered
Dogrib	1675	Vulnerable
Karajá	1500	Vulnerable
Lower Northwestern Otomí	6509	Vulnerable
Brokshat	3000	Definitely endangered
Faroese	60000	Vulnerable
Mpi	2000	Definitely endangered
Juma	5	Critically endangered
Sakurabiat	25	Severely endangered
Cocopa (Mexico)	206	Definitely endangered
Lehali	250	Vulnerable
